"name"	"ASASSN-14fo"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6397'>ATEL 6397</a>"	"alias"	"2"
"aliases"	"ASASSN-14fo,CSS140831:203406-015801"
"claimedtype"	"Ia"
"discoverday"	"16"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"8"
"discoveryear"	"2014"
"maxday"	"16"
"maxmonth"	"8"
"maxyear"	"2014"
"redshift"	"0.02"
"sndec"	"-01:58:03.6"
"snra"	"20:34:06.43"
"photometry"	"timeunit"	"MJD"	"time"	"56885.5"	"abmag"	"15.5"	"source"	"2,1"
