"name"	"SN2006hr"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"17"
"discoverer"	"SDSS-II"
"discovermonth"	"9"
"discoveryear"	"2006"
"galdec"	"-005314"
"galra"	"015015"
"host"	"A015015-0053"
"hvel"	"44200"
"maxday"	"26"
"maxmonth"	"9"
"maxyear"	"2006"
"redshift"	"0.16"
"sndec"	"-005314.1"
"snra"	"015015.55"
"photometry"	"timeunit"	"MJD"	"time"	"53995.0"	"band"	"g"	"abmag"	"20.9"	"source"	"1"
