"name"	"SN2011I"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002635.txt'>CBET 2635</a>"	"alias"	"2"
"aliases"	"SN2011I,PSN J09502499-2151451"
"claimedtype"	"Ia"
"discoverday"	"5"
"discoverer"	"Berto Monard"
"discovermonth"	"1"
"discoveryear"	"2011"
"galdec"	"-215145"
"galra"	"095024"
"host"	"LEDA 3081659"
"maxday"	"5"
"maxmonth"	"1"
"maxyear"	"2011"
"sndec"	"-21:51:45.1"
"snra"	"09:50:24.99"
"photometry"	"timeunit"	"MJD"	"time"	"55566.5"	"abmag"	"15.8"	"source"	"2,1"
