"name"	"K0812-5"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001600/CBET001682.txt'>CBET 1682</a>"	"alias"	"2"
"aliases"	"K0812-5,CSS081222:121150+155451"
"claimedtype"	"unk"
"discoverday"	"21"
"discoverer"	"CRTS"
"discovermonth"	"12"
"discoveryear"	"2008"
"maxday"	"21"
"maxmonth"	"12"
"maxyear"	"2008"
"sndec"	"+15:54:51.3"
"snra"	"12:11:50.13"
"photometry"	"timeunit"	"MJD"	"time"	"54821.5"	"abmag"	"19.8"	"source"	"2,1"
