"name"	"SN2014C"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003700/CBET003777.txt'>CBET 3777</a>"	"alias"	"2"
"aliases"	"SN2014C,PSN J22370560+3424319"
"claimedtype"	"Ib"
"discoverday"	"11"
"discoverer"	"LOSS"
"discovermonth"	"1"
"discoveryear"	"2014"
"galdec"	"+342456"
"galra"	"223704"
"host"	"NGC 7331"
"hvel"	"821"
"maxday"	"11"
"maxmonth"	"1"
"maxyear"	"2014"
"redshift"	"0.002722"
"sndec"	"+34:24:31.9"
"snra"	"22:37:05.60"
"photometry"	"timeunit"	"MJD"	"time"	"56668.5"	"abmag"	"15.0"	"source"	"2,1"
