"name"	"SN2013gx"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003700/CBET003742.txt'>CBET 3742</a>"	"alias"	"2"
"aliases"	"SN2013gx,MASTER OT J010223.27+203321.2"
"claimedtype"	"IIP"
"discoverday"	"28"
"discoverer"	"MASTER"
"discovermonth"	"11"
"discoveryear"	"2013"
"galdec"	"+203333"
"galra"	"010224"
"host"	"A010224+2033"
"hvel"	"7200"
"maxday"	"28"
"maxmonth"	"11"
"maxyear"	"2013"
"redshift"	"0.024"
"sndec"	"+20:33:21.2"
"snra"	"01:02:23.27"
"photometry"	"timeunit"	"MJD"	"time"	"56624.5"	"abmag"	"17.8"	"source"	"2,1"
