"name"	"SN2010fl"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002300/CBET002350.txt'>CBET 2350</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010fl,PS1-1000283"
"claimedtype"	"Ia"
"discoverday"	"5"
"discoverer"	"PS1"
"discovermonth"	"6"
"discoveryear"	"2010"
"galdec"	"+553630"
"galra"	"161348"
"host"	"A161348+5536"
"hvel"	"89400"
"maxday"	"5"
"maxmonth"	"6"
"maxyear"	"2010"
"redshift"	"0.36"
"sndec"	"+55:36:30.66"
"snra"	"16:13:48.216"
"photometry"	"timeunit"	"MJD"	"time"	"55352.5"	"abmag"	"21.5"	"source"	"2,1"
