"name"	"SN1991bj"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia pec"
"discoverday"	"30"
"discoverer"	"Pollas"
"discovermonth"	"12"
"discoveryear"	"1991"
"galdec"	"-043956"
"galra"	"034129"
"host"	"IC 344"
"hvel"	"5450"
"maxday"	"30"
"maxmonth"	"11"
"maxyear"	"1991"
"redshift"	"0.0183"
"sndec"	"-043949.58"
"snra"	"034130.45"
"photometry"	"timeunit"	"MJD"	"time"	"48620.0"	"abmag"	"18.8"	"source"	"1"
