"name"	"SN2013ao"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003442.txt'>CBET 3442</a>"	"alias"	"2"
"aliases"	"SN2013ao,SSS130304:114445-203141"
"claimedtype"	"Ia"
"discoverday"	"14"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2013"
"galdec"	"-203141"
"galra"	"114444"
"host"	"A114444-2031"
"hvel"	"9000"
"maxday"	"14"
"maxmonth"	"3"
"maxyear"	"2013"
"redshift"	"0.03"
"sndec"	"-20:31:41.1"
"snra"	"11:44:44.74"
"photometry"	"timeunit"	"MJD"	"time"	"56365.5"	"abmag"	"16.9"	"source"	"2,1"
