"name"	"SN2006ft"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"28"
"discoverer"	"SDSS-II"
"discovermonth"	"8"
"discoveryear"	"2006"
"galdec"	"-002258"
"galra"	"003150"
"host"	"A003150-0022"
"hvel"	"68100"
"maxday"	"1"
"maxmonth"	"9"
"maxyear"	"2006"
"redshift"	"0.26"
"sndec"	"-002258.7"
"snra"	"003150.06"
"photometry"	"timeunit"	"MJD"	"time"	"53975.0"	"band"	"g"	"abmag"	"21.3"	"source"	"1"
