"name"	"SN2011ez"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002787.txt'>CBET 2787</a>"	"alias"	"2"
"aliases"	"SN2011ez,CSS110624:124242+003354"
"claimedtype"	"Ia"
"discoverday"	"23"
"discoverer"	"CRTS"
"discovermonth"	"6"
"discoveryear"	"2011"
"galdec"	"+003354"
"galra"	"124242"
"host"	"A124242+0033"
"hvel"	"24000"
"maxday"	"23"
"maxmonth"	"6"
"maxyear"	"2011"
"redshift"	"0.08"
"sndec"	"+00:33:54.0"
"snra"	"12:42:42.43"
"photometry"	"timeunit"	"MJD"	"time"	"55735.5"	"abmag"	"18.9"	"source"	"2,1"
