"name"	"SN2006oc"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"17"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2006"
"galdec"	"-005235"
"galra"	"230248"
"host"	"A230248-0052"
"hvel"	"70300"
"maxday"	"28"
"maxmonth"	"10"
"maxyear"	"2006"
"redshift"	"0.27"
"sndec"	"-005235.1"
"snra"	"230248.35"
"photometry"	"timeunit"	"MJD"	"time"	"54025.0"	"band"	"g"	"abmag"	"22.3"	"source"	"1"
