"name"	"PSN J12415045-0710122"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J12415045-0710122.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J12415045-0710122,ASASSN-15kn"
"claimedtype"	"Ia"
"discoverday"	"11"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"6"
"discoveryear"	"2015"
"host"	"PGC 42600"
"maxday"	"11"
"maxmonth"	"6"
"maxyear"	"2015"
"redshift"	"0.024734"
"sndec"	"-07:10:12.2"
"snra"	"12:41:50.45"
"photometry"	"timeunit"	"MJD"	"time"	"57184.5"	"abmag"	"15.7"	"source"	"2,1"
