"name"	"ASASSN-15qh"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=8118'>ATEL 8118</a>"	"alias"	"2"
"source"	"name"	"Joseph Brimacombe"	"alias"	"3"
"source"	"name"	"Kunihiro Shima"	"alias"	"4"
"aliases"	"ASASSN-15qh,LSQ15bed"
"claimedtype"	"II"
"discoverday"	"3"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"10"
"discoveryear"	"2015"
"host"	"ESO 534-G024"
"maxday"	"3"
"maxmonth"	"10"
"maxyear"	"2015"
"redshift"	"0.01"
"sndec"	"-22:43:39.8"
"snra"	"22:45:13.22"
"photometry"	"timeunit"	"MJD"	"time"	"57298.5"	"abmag"	"16.5"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"57301.597"	"band"	"C"	"abmag"	"17.3"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"57308.6285"	"band"	"U"	"abmag"	"16.4"	"source"	"4,1"
