"name"	"SN2012ae"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003000/CBET003025.txt'>CBET 3025</a>"	"alias"	"2"
"aliases"	"SN2012ae,PSN J08585588+2303424"
"claimedtype"	"Ia"
"discoverday"	"12"
"discoverer"	"T. Kryachko et al."
"discovermonth"	"2"
"discoveryear"	"2012"
"galdec"	"+230341"
"galra"	"085856"
"host"	"A085856+2303"
"maxday"	"12"
"maxmonth"	"2"
"maxyear"	"2012"
"sndec"	"+23:03:42.4"
"snra"	"08:58:55.88"
"photometry"	"timeunit"	"MJD"	"time"	"55969.5"	"abmag"	"18.4"	"source"	"2,1"
