"name"	"SN2012D"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002980.txt'>CBET 2980</a>"	"alias"	"2"
"aliases"	"SN2012D,PSN J12583711+2710252"
"claimedtype"	"IIP"
"discoverday"	"27"
"discoverer"	"CRTS"
"discovermonth"	"1"
"discoveryear"	"2012"
"galdec"	"+271035"
"galra"	"125837"
"host"	"PGC 44486"
"hvel"	"7666"
"maxday"	"27"
"maxmonth"	"1"
"maxyear"	"2012"
"redshift"	"0.026"
"sndec"	"+27:10:25.2"
"snra"	"12:58:37.11"
"photometry"	"timeunit"	"MJD"	"time"	"55953.5"	"abmag"	"17.1"	"source"	"2,1"
