"name"	"MASTER OT J012612.90+114027.7"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6799'>ATEL 6799</a>"	"alias"	"2"
"aliases"	"MASTER OT J012612.90+114027.7,PS1-14acp"
"claimedtype"	"unk"
"discoverday"	"8"
"discoverer"	"MASTER"
"discovermonth"	"12"
"discoveryear"	"2014"
"host"	"PGC 1397065"
"maxday"	"8"
"maxmonth"	"12"
"maxyear"	"2014"
"sndec"	"+11:40:27.7"
"snra"	"01:26:12.90"
"photometry"	"timeunit"	"MJD"	"time"	"56999.5"	"abmag"	"18.3"	"source"	"2,1"
