"name"	"ASASSN-15ih"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7483'>ATEL 7483</a>"	"alias"	"2"
"aliases"	"ASASSN-15ih,Gaia15afw"
"claimedtype"	"Ia"
"discoverday"	"10"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"5"
"discoveryear"	"2015"
"maxday"	"10"
"maxmonth"	"5"
"maxyear"	"2015"
"redshift"	"0.019827"
"sndec"	"-02:53:16.4"
"snra"	"09:59:59.57"
"photometry"	"timeunit"	"MJD"	"time"	"57152.5"	"abmag"	"16.0"	"source"	"2,1"
