"name"	"SN2011dr"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002750.txt'>CBET 2750</a>"	"alias"	"2"
"aliases"	"SN2011dr,PSN J20062026-4245581"
"claimedtype"	"IIP"
"discoverday"	"24"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2011"
"galdec"	"-424551"
"galra"	"200621"
"host"	"ESO 284-G16"
"hvel"	"5413"
"maxday"	"24"
"maxmonth"	"5"
"maxyear"	"2011"
"redshift"	"0.0181"
"sndec"	"-42:45:58.0"
"snra"	"20:06:20.26"
"photometry"	"timeunit"	"MJD"	"time"	"55705.5"	"abmag"	"16.6"	"source"	"2,1"
