"name"	"MASTER OT J091013.77+461735.4"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=5899'>ATEL 5899</a>"	"alias"	"2"
"aliases"	"MASTER OT J091013.77+461735.4,PS1-14ms"
"claimedtype"	"unk"
"discoverday"	"20"
"discoverer"	"MASTER"
"discovermonth"	"2"
"discoveryear"	"2014"
"host"	"PGC 82329"
"maxday"	"20"
"maxmonth"	"2"
"maxyear"	"2014"
"sndec"	"+46:17:35.4"
"snra"	"09:10:13.77"
"photometry"	"timeunit"	"MJD"	"time"	"56708.5"	"abmag"	"16.8"	"source"	"2,1"
