"name"	"SN2011eb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002764.txt'>CBET 2764</a>"	"alias"	"2"
"aliases"	"SN2011eb,PSN J01573658-5748008"
"claimedtype"	"Ia"
"discoverday"	"18"
"discoverer"	"Berto Monard"
"discovermonth"	"7"
"discoveryear"	"2011"
"galdec"	"-574725"
"galra"	"015738"
"host"	"NGC 782"
"hvel"	"6000"
"maxday"	"18"
"maxmonth"	"7"
"maxyear"	"2011"
"redshift"	"0.0203"
"sndec"	"-57:48:00.8"
"snra"	"01:57:36.58"
"photometry"	"timeunit"	"MJD"	"time"	"55760.5"	"abmag"	"15.1"	"source"	"2,1"
