"name"	"SN2013O"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003300/CBET003395.txt'>CBET 3395</a>"	"alias"	"2"
"aliases"	"SN2013O,PSN J08520598+5236062"
"claimedtype"	"Ia"
"discoverday"	"3"
"discoverer"	"THU-NAOC Transient Survey (TNTS)"
"discovermonth"	"2"
"discoveryear"	"2013"
"galdec"	"+523602"
"galra"	"085206"
"host"	"A085206+5236"
"hvel"	"2400"
"maxday"	"3"
"maxmonth"	"2"
"maxyear"	"2013"
"redshift"	"0.052948"
"sndec"	"+52:36:06.2"
"snra"	"08:52:05.98"
"photometry"	"timeunit"	"MJD"	"time"	"56326.5"	"abmag"	"17.1"	"source"	"2,1"
