"name"	"SN2012bk"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003000/CBET003075.txt'>CBET 3075</a>"	"alias"	"2"
"aliases"	"SN2012bk,PSN J13545169-2630464"
"claimedtype"	"Ib"
"discoverday"	"24"
"discoverer"	"CHASE"
"discovermonth"	"3"
"discoveryear"	"2012"
"galdec"	"-263046"
"galra"	"135451"
"host"	"A135451-2630"
"hvel"	"5280"
"maxday"	"24"
"maxmonth"	"3"
"maxyear"	"2012"
"redshift"	"0.0176"
"sndec"	"-26:30:46.4"
"snra"	"13:54:51.69"
"photometry"	"timeunit"	"MJD"	"time"	"56010.5"	"abmag"	"16.8"	"source"	"2,1"
