"name"	"LSQ12bpy"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=4037'>ATEL 4037</a>"	"alias"	"2"
"aliases"	"LSQ12bpy,CSS120420:133640-215116"
"claimedtype"	"Ia"
"discoverday"	"19"
"discoverer"	"La Silla-QUEST"
"discovermonth"	"4"
"discoveryear"	"2012"
"maxday"	"19"
"maxmonth"	"4"
"maxyear"	"2012"
"redshift"	"0.111"
"sndec"	"-21:51:15.48"
"snra"	"13:36:40.37"
"photometry"	"timeunit"	"MJD"	"time"	"56036.5"	"abmag"	"19.0"	"source"	"2,1"
