"name"	"SN2015ax"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004200/CBET004203.txt'>CBET 4203</a>"	"alias"	"2"
"aliases"	"SN2015ax,PS15dbl"
"claimedtype"	"Ia"
"discoverday"	"29"
"discoverer"	"Francois Kugel"
"discovermonth"	"10"
"discoveryear"	"2015"
"galdec"	"+150555"
"galra"	"011815"
"host"	"2MFGC 973"
"hvel"	"16224"
"maxday"	"29"
"maxmonth"	"10"
"maxyear"	"2015"
"redshift"	"0.054"
"sndec"	"+15:05:58.8"
"snra"	"01:18:15.60"
"photometry"	"timeunit"	"MJD"	"time"	"57324.5"	"abmag"	"17.2"	"source"	"2,1"
