"name"	"SN2012gb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003200/CBET003288.txt'>CBET 3288</a>"	"alias"	"2"
"aliases"	"SN2012gb,PSN J22154284+3714380"
"claimedtype"	"Ia"
"discoverday"	"30"
"discoverer"	"Koichi Itagaki"
"discovermonth"	"10"
"discoveryear"	"2012"
"galdec"	"+371434"
"galra"	"221544"
"host"	"IC 5193"
"hvel"	"5586"
"maxday"	"30"
"maxmonth"	"10"
"maxyear"	"2012"
"redshift"	"0.0186"
"sndec"	"+37:14:38.0"
"snra"	"22:15:42.84"
"photometry"	"timeunit"	"MJD"	"time"	"56230.5"	"abmag"	"16.4"	"source"	"2,1"
