"name"	"PSN J21290494-4146297"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J21290494-4146297.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J21290494-4146297,SNhunt132"
"discoverday"	"4"
"discoverer"	"CRTS"
"discovermonth"	"6"
"discoveryear"	"2012"
"host"	"ESO 342-G52"
"maxday"	"4"
"maxmonth"	"6"
"maxyear"	"2012"
"sndec"	"-41:46:29.7"
"snra"	"21:29:04.94"
"photometry"	"timeunit"	"MJD"	"time"	"56082.5"	"abmag"	"18.8"	"source"	"2,1"
