"name"	"SN2003bk"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"claimedtype"	"II"
"discoverday"	"28"
"discoverer"	"LOTOSS"
"discovermonth"	"2"
"discoveryear"	"2003"
"galdec"	"+091956"
"galra"	"122243"
"host"	"NGC 4316"
"hvel"	"1262"
"maxday"	"28"
"maxmonth"	"2"
"maxyear"	"2003"
"redshift"	"0.00422"
"sndec"	"+092001.2"
"snra"	"122242.14"
"photometry"	"timeunit"	"MJD"	"time"	"52698.5"	"band"	"C"	"abmag"	"17"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52700.3"	"band"	"C"	"abmag"	"17"	"source"	"1,2"
