"name"	"SN2012fx"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003200/CBET003283.txt'>CBET 3283</a>"	"alias"	"2"
"aliases"	"SN2012fx,PSN J02554120-2725276"
"claimedtype"	"Ia"
"discoverday"	"21"
"discoverer"	"Berto Monard"
"discovermonth"	"8"
"discoveryear"	"2012"
"galdec"	"-272523"
"galra"	"025540"
"host"	"ESO 417-G3"
"hvel"	"5272"
"maxday"	"21"
"maxmonth"	"8"
"maxyear"	"2012"
"redshift"	"0.02"
"sndec"	"-27:25:27.6"
"snra"	"02:55:41.20"
"photometry"	"timeunit"	"MJD"	"time"	"56160.5"	"abmag"	"17.2"	"source"	"2,1"
