"name"	"SN2010ao"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"18"
"discoverer"	"LOSS"
"discovermonth"	"3"
"discoveryear"	"2010"
"galdec"	"+035347"
"galra"	"134340"
"host"	"UGC 8686"
"hvel"	"6854"
"maxday"	"24"
"maxmonth"	"3"
"maxyear"	"2010"
"redshift"	"0.0231"
"sndec"	"+035400.1"
"snra"	"134340.99"
"photometry"	"timeunit"	"MJD"	"time"	"55273.0"	"abmag"	"19.0"	"source"	"1"
