"name"	"SN2013hu"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003700/CBET003776.txt'>CBET 3776</a>"	"alias"	"2"
"aliases"	"SN2013hu,PSN J11280786-1311336"
"claimedtype"	"IIP"
"discoverday"	"30"
"discoverer"	"Koichi Itagaki"
"discovermonth"	"12"
"discoveryear"	"2013"
"galdec"	"-131139"
"galra"	"112812"
"host"	"NGC 3693"
"hvel"	"4953"
"maxday"	"30"
"maxmonth"	"12"
"maxyear"	"2013"
"redshift"	"0.015"
"sndec"	"-13:11:33.6"
"snra"	"11:28:07.86"
"photometry"	"timeunit"	"MJD"	"time"	"56656.5"	"abmag"	"16.6"	"source"	"2,1"
