"name"	"SN2011dz"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002761.txt'>CBET 2761</a>"	"alias"	"2"
"aliases"	"SN2011dz,PTF11dxu"
"claimedtype"	"Ia"
"discoverday"	"22"
"discoverer"	"PTF"
"discovermonth"	"8"
"discoveryear"	"2011"
"galdec"	"+281706"
"galra"	"161245"
"host"	"UGC 10273"
"hvel"	"7381"
"maxday"	"22"
"maxmonth"	"8"
"maxyear"	"2011"
"redshift"	"0.0245"
"sndec"	"+28:17:02.3"
"snra"	"16:12:44.83"
"photometry"	"timeunit"	"MJD"	"time"	"55795.5"	"abmag"	"15.0"	"source"	"2,1"
