"name"	"SN2007ns"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"22"
"discoverer"	"SDSS-II"
"discovermonth"	"9"
"discoveryear"	"2007"
"galdec"	"-005159"
"galra"	"023702"
"host"	"A023702-0051"
"hvel"	"91400"
"maxday"	"2"
"maxmonth"	"10"
"maxyear"	"2007"
"redshift"	"0.37"
"sndec"	"-005159.8"
"snra"	"023702.97"
"photometry"	"timeunit"	"MJD"	"time"	"54365.0"	"band"	"g"	"abmag"	"22.5"	"source"	"1"
