"name"	"SN2012dd"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003100/CBET003158.txt'>CBET 3158</a>"	"alias"	"2"
"aliases"	"SN2012dd,PSN J10571646+2832217"
"claimedtype"	"Ia"
"discoverday"	"8"
"discoverer"	"Tim Puckett et al."
"discovermonth"	"6"
"discoveryear"	"2012"
"galdec"	"+283230"
"galra"	"105717"
"host"	"PGC 32926"
"hvel"	"13703"
"maxday"	"8"
"maxmonth"	"6"
"maxyear"	"2012"
"redshift"	"0.0457"
"sndec"	"+28:32:21.7"
"snra"	"10:57:16.46"
"photometry"	"timeunit"	"MJD"	"time"	"56086.5"	"abmag"	"16.9"	"source"	"2,1"
