"name"	"SN2011fv"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002800/CBET002828.txt'>CBET 2828</a>"	"alias"	"2"
"aliases"	"SN2011fv,PSN J01180780+1733298"
"claimedtype"	"II"
"discoverday"	"25"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"9"
"discoveryear"	"2011"
"galdec"	"+173345"
"galra"	"011808"
"host"	"NGC 459"
"hvel"	"12705"
"maxday"	"25"
"maxmonth"	"9"
"maxyear"	"2011"
"redshift"	"0.0424"
"sndec"	"+17:33:29.7"
"snra"	"01:18:07.80"
"photometry"	"timeunit"	"MJD"	"time"	"55829.5"	"abmag"	"18.2"	"source"	"2,1"
