"name"	"SN2010bw"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002200/CBET002258.txt'>CBET 2258</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010bw,CSS100312:113757+105338"
"claimedtype"	"Ia"
"discoverday"	"11"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2010"
"galdec"	"+105338"
"galra"	"113756"
"host"	"A113756+1053"
"hvel"	"33800"
"maxday"	"11"
"maxmonth"	"3"
"maxyear"	"2010"
"redshift"	"0.12"
"sndec"	"+10:53:38.0"
"snra"	"11:37:56.59"
"photometry"	"timeunit"	"MJD"	"time"	"55266.5"	"abmag"	"19.4"	"source"	"2,1"
