"name"	"SN2011ch"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002718.txt'>CBET 2718</a>"	"alias"	"2"
"aliases"	"SN2011ch,CSS110427:130254+495229"
"claimedtype"	"Ia"
"discoverday"	"26"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2011"
"galdec"	"+495229"
"galra"	"130254"
"host"	"A130254+4952"
"maxday"	"26"
"maxmonth"	"4"
"maxyear"	"2011"
"sndec"	"+49:52:29.1"
"snra"	"13:02:54.31"
"photometry"	"timeunit"	"MJD"	"time"	"55677.5"	"abmag"	"16.2"	"source"	"2,1"
