"name"	"LSQ15alq"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7465'>ATEL 7465</a>"	"alias"	"2"
"aliases"	"LSQ15alq,PS15amx"
"claimedtype"	"Ia"
"discoverday"	"21"
"discoverer"	"La Silla-QUEST"
"discovermonth"	"5"
"discoveryear"	"2015"
"host"	"ESO 508-G16"
"maxday"	"21"
"maxmonth"	"5"
"maxyear"	"2015"
"redshift"	"0.047"
"sndec"	"-25:52:20.24"
"snra"	"13:09:18.56"
"photometry"	"timeunit"	"MJD"	"time"	"57163.5"	"abmag"	"18.0"	"source"	"2,1"
