"name"	"MLS150512:133437-120251"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://nesssi.cacr.caltech.edu/catalina/AllSN.html'>CRTS SN page</a>"	"alias"	"2"
"aliases"	"MLS150512:133437-120251,CSS150518:133437-120251"
"discoverday"	"11"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2015"
"maxday"	"11"
"maxmonth"	"5"
"maxyear"	"2015"
"sndec"	"-12:02:51.4"
"snra"	"13:34:37.46"
"photometry"	"timeunit"	"MJD"	"time"	"57153.5"	"abmag"	"18.4"	"source"	"2,1"
