"name"	"SN2011kg"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003464.txt'>CBET 3464</a>"	"alias"	"2"
"aliases"	"SN2011kg,PTF11rks"
"claimedtype"	"I-pec"
"discoverday"	"29"
"discoverer"	"PTF"
"discovermonth"	"12"
"discoveryear"	"2011"
"galdec"	"+295527"
"galra"	"013945"
"host"	"A013945+2955"
"hvel"	"51600"
"maxday"	"29"
"maxmonth"	"12"
"maxyear"	"2011"
"redshift"	"0.19"
"sndec"	"+29:55:27.0"
"snra"	"01:39:45.50"
"photometry"	"timeunit"	"MJD"	"time"	"55924.5"	"abmag"	"18.5"	"source"	"2,1"
