"name"	"SN2002cw"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ib "
"discoverday"	"4"
"discoverer"	"LOTOSS"
"discovermonth"	"5"
"discoveryear"	"2002"
"galdec"	"+321651"
"galra"	"184605"
"host"	"NGC 6700"
"hvel"	"4550"
"maxday"	"4"
"maxmonth"	"5"
"maxyear"	"2002"
"redshift"	"0.0153"
"sndec"	"+321703.2"
"snra"	"184602.40"
"photometry"	"timeunit"	"MJD"	"time"	"52398.5"	"band"	"C"	"abmag"	"18.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52410.5"	"band"	"C"	"abmag"	"18.7"	"source"	"1,2"
