"name"	"SN2007oy"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"15"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2007"
"galdec"	"+011322"
"galra"	"231755"
"host"	"A231755+0113"
"hvel"	"93400"
"maxday"	"22"
"maxmonth"	"10"
"maxyear"	"2007"
"redshift"	"0.38"
"sndec"	"+011322.2"
"snra"	"231755.44"
"photometry"	"timeunit"	"MJD"	"time"	"54388.0"	"band"	"g"	"abmag"	"22.7"	"source"	"1"
