"name"	"SN2015am"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004100/CBET004187.txt'>CBET 4187</a>"	"alias"	"2"
"aliases"	"SN2015am,PSN J02090990+3159515"
"claimedtype"	"II"
"discoverday"	"15"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"8"
"discoveryear"	"2015"
"galdec"	"+315939"
"galra"	"020910"
"host"	"UGC 1641"
"hvel"	"5007"
"maxday"	"15"
"maxmonth"	"8"
"maxyear"	"2015"
"redshift"	"0.0167"
"sndec"	"+31:59:51.5"
"snra"	"02:09:09.90"
"photometry"	"timeunit"	"MJD"	"time"	"57249.5"	"abmag"	"18.0"	"source"	"2,1"
