"name"	"SN2007ml"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"9"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2007"
"galdec"	"+000817"
"galra"	"003153"
"host"	"A003153+0008"
"hvel"	"54100"
"maxday"	"21"
"maxmonth"	"10"
"maxyear"	"2007"
"redshift"	"0.2"
"sndec"	"+000817.9"
"snra"	"003153.46"
"photometry"	"timeunit"	"MJD"	"time"	"54382.0"	"band"	"g"	"abmag"	"21.8"	"source"	"1"
