"name"	"SN2006ks"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"11"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2006"
"galdec"	"+000013"
"galra"	"223004"
"host"	"A223004+0000"
"hvel"	"56500"
"maxday"	"19"
"maxmonth"	"10"
"maxyear"	"2006"
"redshift"	"0.21"
"sndec"	"+000013.2"
"snra"	"223004.66"
"photometry"	"timeunit"	"MJD"	"time"	"54019.0"	"band"	"g"	"abmag"	"22.8"	"source"	"1"
