"name"	"SN2012co"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003100/CBET003129.txt'>CBET 3129</a>"	"alias"	"2"
"aliases"	"SN2012co,PSN J21440852+4614511"
"claimedtype"	"Ia"
"discoverday"	"18"
"discoverer"	"Tim Puckett et al."
"discovermonth"	"5"
"discoveryear"	"2012"
"galdec"	"+461445"
"galra"	"214410"
"host"	"UGC 11804"
"hvel"	"5543"
"maxday"	"18"
"maxmonth"	"5"
"maxyear"	"2012"
"redshift"	"0.02"
"sndec"	"+46:14:51.1"
"snra"	"21:44:08.52"
"photometry"	"timeunit"	"MJD"	"time"	"56065.5"	"abmag"	"17.2"	"source"	"2,1"
