"name"	"SN2010cg"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002200/CBET002258.txt'>CBET 2258</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010cg,CSS100409:153038+005242"
"claimedtype"	"unk"
"discoverday"	"8"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2010"
"galdec"	"+005241"
"galra"	"153037"
"host"	"A153037+0052"
"maxday"	"8"
"maxmonth"	"4"
"maxyear"	"2010"
"sndec"	"+00:52:41.9"
"snra"	"15:30:37.56"
"photometry"	"timeunit"	"MJD"	"time"	"55294.5"	"abmag"	"17.5"	"source"	"2,1"
