"name"	"SN2006gn"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"28"
"discoverer"	"SDSS-II"
"discovermonth"	"8"
"discoveryear"	"2006"
"galdec"	"+003016"
"galra"	"231118"
"host"	"A231118+0030"
"hvel"	"28500"
"maxday"	"8"
"maxmonth"	"9"
"maxyear"	"2006"
"redshift"	"0.1"
"sndec"	"+003016.6"
"snra"	"231118.43"
"photometry"	"timeunit"	"MJD"	"time"	"53975.0"	"band"	"g"	"abmag"	"20.2"	"source"	"1"
