"name"	"SN2010fb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002300/CBET002350.txt'>CBET 2350</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010fb,PS1-1000280"
"claimedtype"	"Ia"
"discoverday"	"30"
"discoverer"	"PS1"
"discovermonth"	"5"
"discoveryear"	"2010"
"galdec"	"+545429"
"galra"	"160818"
"host"	"A160818+5454"
"hvel"	"84500"
"maxday"	"30"
"maxmonth"	"5"
"maxyear"	"2010"
"redshift"	"0.336"
"sndec"	"+54:54:29.21"
"snra"	"16:08:18.404"
"photometry"	"timeunit"	"MJD"	"time"	"55346.5"	"abmag"	"22.2"	"source"	"2,1"
