"name"	"SPC-0401"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='unannounced'>unannounced</a>"	"alias"	"2"
"aliases"	"SPC-0401,Mingus"
"claimedtype"	"Ia"
"discoverday"	"2"
"discoverer"	"HST"
"discovermonth"	"4"
"discoveryear"	"2004"
"maxday"	"2"
"maxmonth"	"4"
"maxyear"	"2004"
"redshift"	"1.71"
"sndec"	"+62:22:15.5"
"snra"	"12:37:09.5"
"photometry"	"timeunit"	"MJD"	"time"	"53097.5"	"abmag"	"25.2"	"source"	"2,1"
