"name"	"PSN J20041174-1946396"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J20041174-1946396.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J20041174-1946396,SNhunt242"
"claimedtype"	"IIb"
"discoverday"	"23"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2014"
"host"	"PGC 850627"
"maxday"	"23"
"maxmonth"	"4"
"maxyear"	"2014"
"redshift"	"0.068"
"sndec"	"-19:46:39.6"
"snra"	"20:04:11.74"
"photometry"	"timeunit"	"MJD"	"time"	"56770.5"	"abmag"	"19.6"	"source"	"2,1"
