"name"	"SN2011Q"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002645.txt'>CBET 2645</a>"	"alias"	"2"
"aliases"	"SN2011Q,CSS110105:091911+394229"
"claimedtype"	"Ia"
"discoverday"	"4"
"discoverer"	"CRTS"
"discovermonth"	"1"
"discoveryear"	"2011"
"galdec"	"+394229"
"galra"	"091911"
"host"	"A091911+3942"
"hvel"	"27000"
"maxday"	"4"
"maxmonth"	"1"
"maxyear"	"2011"
"redshift"	"0.09"
"sndec"	"+39:42:29.2"
"snra"	"09:19:11.45"
"photometry"	"timeunit"	"MJD"	"time"	"55565.5"	"abmag"	"18.3"	"source"	"2,1"
