"name"	"SN2006ju"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"2"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2006"
"galdec"	"-004306"
"galra"	"232439"
"host"	"A232439-0043"
"hvel"	"41600"
"maxday"	"13"
"maxmonth"	"10"
"maxyear"	"2006"
"redshift"	"0.15"
"sndec"	"-004306.0"
"snra"	"232439.01"
"photometry"	"timeunit"	"MJD"	"time"	"54010.0"	"band"	"g"	"abmag"	"21.9"	"source"	"1"
