"name"	"SN2012da"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003100/CBET003152.txt'>CBET 3152</a>"	"alias"	"2"
"aliases"	"SN2012da,PSN J13023366+2726113"
"claimedtype"	"Ia"
"discoverday"	"21"
"discoverer"	"CRTS"
"discovermonth"	"6"
"discoveryear"	"2012"
"galdec"	"+272621"
"galra"	"130235"
"host"	"PGC 83768"
"hvel"	"5400"
"maxday"	"21"
"maxmonth"	"6"
"maxyear"	"2012"
"redshift"	"0.018"
"sndec"	"+27:26:11.3"
"snra"	"13:02:33.66"
"photometry"	"timeunit"	"MJD"	"time"	"56099.5"	"abmag"	"15.9"	"source"	"2,1"
