"name"	"SN2011df"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002729.txt'>CBET 2729</a>"	"alias"	"2"
"aliases"	"SN2011df,PSN J19273364+5423113"
"claimedtype"	"Ia"
"discoverday"	"6"
"discoverer"	"Tim Puckett et al."
"discovermonth"	"10"
"discoveryear"	"2011"
"galdec"	"+542222"
"galra"	"192736"
"host"	"NGC 6801"
"hvel"	"4315"
"maxday"	"6"
"maxmonth"	"10"
"maxyear"	"2011"
"redshift"	"0.0144"
"sndec"	"+54:23:11.3"
"snra"	"19:27:33.64"
"photometry"	"timeunit"	"MJD"	"time"	"55840.5"	"abmag"	"15.5"	"source"	"2,1"
