"name"	"SN2006oe"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"28"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2006"
"galdec"	"+010756"
"galra"	"232127"
"host"	"A232127+0107"
"hvel"	"85300"
"maxday"	"1"
"maxmonth"	"11"
"maxyear"	"2006"
"redshift"	"0.34"
"sndec"	"+010756.9"
"snra"	"232127.00"
"photometry"	"timeunit"	"MJD"	"time"	"54036.0"	"band"	"g"	"abmag"	"22.0"	"source"	"1"
