"name"	"SN2003ck"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"discoverday"	"26"
"discoverer"	"Wood-Vasey et al."
"discovermonth"	"3"
"discoveryear"	"2003"
"galdec"	"+030421"
"galra"	"130621"
"host"	"A130621+0304"
"maxday"	"26"
"maxmonth"	"3"
"maxyear"	"2003"
"sndec"	"+030421.0"
"snra"	"130621.72"
"photometry"	"timeunit"	"MJD"	"time"	"52724.39"	"band"	"C"	"abmag"	"19.3"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52726.26"	"band"	"C"	"abmag"	"19.5"	"source"	"1,2"
