"name"	"SN2011bc"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002684.txt'>CBET 2684</a>"	"alias"	"2"
"aliases"	"SN2011bc,PSN J12043294+2012114"
"claimedtype"	"Ia"
"discoverday"	"31"
"discoverer"	"Ron Arbour"
"discovermonth"	"3"
"discoveryear"	"2011"
"galdec"	"+201218"
"galra"	"120432"
"host"	"NGC 4076"
"hvel"	"6267"
"maxday"	"31"
"maxmonth"	"3"
"maxyear"	"2011"
"redshift"	"0.0204"
"sndec"	"+20:12:11.3"
"snra"	"12:04:32.93"
"photometry"	"timeunit"	"MJD"	"time"	"55651.5"	"abmag"	"14.6"	"source"	"2,1"
