"name"	"SN2011cq"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002724.txt'>CBET 2724</a>"	"alias"	"2"
"aliases"	"SN2011cq,PSN J12160715-0334307"
"claimedtype"	"II-pec"
"discoverday"	"25"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2011"
"galdec"	"-033412"
"galra"	"121609"
"host"	"PGC 39280"
"hvel"	"5148"
"maxday"	"25"
"maxmonth"	"4"
"maxyear"	"2011"
"redshift"	"0.02"
"sndec"	"-03:34:30.7"
"snra"	"12:16:07.15"
"photometry"	"timeunit"	"MJD"	"time"	"55676.5"	"abmag"	"17.8"	"source"	"2,1"
