"name"	"SN2001K"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"II"
"discoverday"	"15"
"discoverer"	"BAOSS"
"discovermonth"	"1"
"discoveryear"	"2001"
"galdec"	"+121804"
"galra"	"111357"
"host"	"IC 677"
"hvel"	"3272"
"maxday"	"21"
"maxmonth"	"1"
"maxyear"	"2001"
"redshift"	"0.011"
"sndec"	"+121807.8"
"snra"	"111356.06"
"photometry"	"timeunit"	"MJD"	"time"	"51924.9"	"band"	"C"	"abmag"	"17"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51925.2"	"band"	"C"	"abmag"	"16.6"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51926.4"	"band"	"C"	"abmag"	"16.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51927.02"	"band"	"C"	"abmag"	"16.3"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51927.9"	"band"	"C"	"abmag"	"16.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51930.05"	"band"	"R"	"abmag"	"16"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51951.84"	"band"	"C"	"abmag"	"17.8"	"source"	"1,2"
