"name"	"SN2005mk"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"II"
"discoverday"	"8"
"discoverer"	"SDSS-II"
"discovermonth"	"11"
"discoveryear"	"2005"
"galdec"	"+004958"
"galra"	"224240"
"host"	"A224240+0049"
"hvel"	"41600"
"maxday"	"16"
"maxmonth"	"11"
"maxyear"	"2005"
"redshift"	"0.15"
"sndec"	"+004958.9"
"snra"	"224240.64"
"photometry"	"timeunit"	"MJD"	"time"	"53682.0"	"band"	"g"	"abmag"	"21.9"	"source"	"1"
