"name"	"SN2009kt"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002000/CBET002012.txt'>CBET 2012</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009kt,PS10909010"
"claimedtype"	"Ia"
"discoverday"	"29"
"discoverer"	"CRTS"
"discovermonth"	"9"
"discoveryear"	"2009"
"galdec"	"-040444"
"galra"	"022828"
"host"	"A022828-0404"
"hvel"	"70300"
"maxday"	"29"
"maxmonth"	"9"
"maxyear"	"2009"
"redshift"	"0.33"
"sndec"	"-04:04:44.1"
"snra"	"02:28:28.37"
"photometry"	"timeunit"	"MJD"	"time"	"55103.5"	"abmag"	"21.5"	"source"	"2,1"
