"name"	"SN2011he"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002800/CBET002885.txt'>CBET 2885</a>"	"alias"	"2"
"aliases"	"SN2011he,CSS111020:223647+202131"
"claimedtype"	"Ia"
"discoverday"	"31"
"discoverer"	"CRTS"
"discovermonth"	"10"
"discoveryear"	"2011"
"galdec"	"+202131"
"galra"	"223646"
"host"	"A223646+2021"
"hvel"	"15000"
"maxday"	"31"
"maxmonth"	"10"
"maxyear"	"2011"
"redshift"	"0.055"
"sndec"	"+20:21:31.2"
"snra"	"22:36:46.72"
"photometry"	"timeunit"	"MJD"	"time"	"55865.5"	"abmag"	"18.4"	"source"	"2,1"
