"name"	"SN2002ct"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"discoverday"	"10"
"discoverer"	"LOTOSS"
"discovermonth"	"5"
"discoveryear"	"2002"
"galdec"	"+280013"
"galra"	"124722"
"host"	"A124722+2800"
"maxday"	"19"
"maxmonth"	"5"
"maxyear"	"2002"
"sndec"	"+280013.9"
"snra"	"124722.53"
"photometry"	"timeunit"	"MJD"	"time"	"52404.3"	"band"	"C"	"abmag"	"20.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52406.2"	"band"	"C"	"abmag"	"20.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52413.14"	"band"	"C"	"abmag"	"19.3"	"source"	"1,2"
